id,sig_id,pert_id,pert_iname,pert_desc,cell_id,pert_time,pert_dose,pert_type,is_gold,DrugBank.ID,CAS,CID,Drug_Name,Drug_Description,Drug_Group,Drug_Indication,ATC_Codes,A,B,C,D,G,H,J,L,M,N,P,R,S,V,DrugBank.ID.1,SMILES
83292,CPC015_NPC_24H:BRD-K79131256-001-08-8:10,BRD-K79131256,albendazole,-666,NPC,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
94221,CPC020_HA1E_6H:BRD-K79131256-001-14-6:10,BRD-K79131256,albendazole,albendazole,HA1E,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
94917,CPC020_HCC515_6H:BRD-K79131256-001-14-6:10,BRD-K79131256,albendazole,albendazole,HCC515,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
99211,CPC020_MCF7_6H:BRD-K79131256-001-14-6:10,BRD-K79131256,albendazole,albendazole,MCF7,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
100641,CPD001_MCF7_24H:BRD-K79131256-001-11-2:10,BRD-K79131256,albendazole,Albendazole,MCF7,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
101356,CPC020_MCF7_24H:BRD-K79131256-001-14-6:10,BRD-K79131256,albendazole,albendazole,MCF7,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
102787,CPC020_PC3_6H:BRD-K79131256-001-14-6:10,BRD-K79131256,albendazole,albendazole,PC3,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
103488,CPD001_PC3_24H:BRD-K79131256-001-11-2:10,BRD-K79131256,albendazole,Albendazole,PC3,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
103844,CPC020_PC3_24H:BRD-K79131256-001-14-6:10,BRD-K79131256,albendazole,albendazole,PC3,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
105991,CPC020_VCAP_6H:BRD-K79131256-001-14-6:10,BRD-K79131256,albendazole,albendazole,VCAP,6,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
334106,MUC.CP005_MCF7_6H:BRD-K79131256-001-03-9:1.1111,BRD-K79131256,albendazole,-666,MCF7,6,1.1111,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
334107,MUC.CP005_MCF7_6H:BRD-K79131256-001-03-9:0.3704,BRD-K79131256,albendazole,-666,MCF7,6,0.3704,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
336147,MUC.CP005_MCF7_24H:BRD-K79131256-001-03-9:10,BRD-K79131256,albendazole,-666,MCF7,24,10,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
336148,MUC.CP005_MCF7_24H:BRD-K79131256-001-03-9:3.3333,BRD-K79131256,albendazole,-666,MCF7,24,3.3333,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
336149,MUC.CP005_MCF7_24H:BRD-K79131256-001-03-9:1.1111,BRD-K79131256,albendazole,-666,MCF7,24,1.1111,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
336150,MUC.CP005_MCF7_24H:BRD-K79131256-001-03-9:0.3704,BRD-K79131256,albendazole,-666,MCF7,24,0.3704,trt_cp,1,DB00518,54965-21-8,2082,Albendazole,"A benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)",approved;vet_approved;,"For the treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, &lt;i&gt;Taenia solium&lt;/i&gt; and for the treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, &lt;i&gt;Echinococcus granulosus&lt;/i&gt;.",P02CA03;,0,0,0,0,0,0,0,0,0,0,1,0,0,0,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
52,CPC004_A375_6H:BRD-A80017228-001-15-8:10,BRD-A80017228,bendroflumethiazide,BENDROFLUMETHIAZIDE,A375,6,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
72374,CPC016_A549_6H:BRD-A80017228-001-15-8:10,BRD-A80017228,bendroflumethiazide,-666,A549,6,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
74527,CPC016_ASC_24H:BRD-A80017228-001-15-8:10,BRD-A80017228,bendroflumethiazide,-666,ASC,24,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
80297,CPC016_MCF7_24H:BRD-A80017228-001-15-8:10,BRD-A80017228,bendroflumethiazide,-666,MCF7,24,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
82797,CPC016_NPC_24H:BRD-A80017228-001-15-8:10,BRD-A80017228,bendroflumethiazide,-666,NPC,24,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
86361,CPC016_SKB_24H:BRD-A80017228-001-15-8:10,BRD-A80017228,bendroflumethiazide,-666,SKB,24,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
97437,CPC020_HT29_6H:BRD-A80017228-001-21-6:10,BRD-A80017228,bendroflumethiazide,bendrofluazide,HT29,6,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
106002,CPC020_VCAP_6H:BRD-A80017228-001-21-6:10,BRD-A80017228,bendroflumethiazide,bendrofluazide,VCAP,6,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
106696,CPC020_VCAP_24H:BRD-A80017228-001-21-6:10,BRD-A80017228,bendroflumethiazide,bendrofluazide,VCAP,24,10,trt_cp,1,DB00436,73-48-3,2315,Bendroflumethiazide,"A thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p810)",approved;,For the treatment of high blood pressure and management of edema related to heart failure.,C03AA01;C03AB01;C03EA13;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,DB00436,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
